TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,CLE vs. PHX,3/23/18,W,240,120,47,95,49.5,8,29,27.6,18,24,75,15,39,54,23,9,4,14,14,25
CLE,CLE vs. TOR,3/21/18,W,240,132,47,78,60.3,15,24,62.5,23,28,82.1,4,29,33,28,3,4,10,18,3
CLE,CLE vs. MIL,3/19/18,W,240,124,43,87,49.4,15,38,39.5,23,27,85.2,12,30,42,24,4,6,15,17,7
CLE,CLE @ CHI,3/17/18,W,240,114,44,87,50.6,13,37,35.1,13,20,65,11,33,44,25,4,5,13,14,5
CLE,CLE @ POR,3/15/18,L,240,105,41,80,51.3,11,33,33.3,12,21,57.1,2,32,34,17,5,7,11,21,-8
CLE,CLE @ PHX,3/13/18,W,240,129,43,87,49.4,17,35,48.6,26,30,86.7,5,39,44,25,12,9,20,25,22
CLE,CLE @ LAL,3/11/18,L,240,113,41,88,46.6,12,31,38.7,19,23,82.6,7,30,37,22,4,5,12,18,-14
CLE,CLE @ LAC,3/9/18,L,240,102,39,87,44.8,12,36,33.3,12,18,66.7,8,32,40,22,10,7,13,28,-14
CLE,CLE @ DEN,3/7/18,W,240,113,44,87,50.6,13,29,44.8,12,18,66.7,7,28,35,25,10,4,10,19,5
CLE,CLE vs. DET,3/5/18,W,240,112,43,88,48.9,12,33,36.4,14,17,82.4,11,42,53,29,8,2,14,18,22
CLE,CLE vs. DEN,3/3/18,L,240,117,46,88,52.3,9,24,37.5,16,21,76.2,12,29,41,25,5,2,9,16,-9
CLE,CLE vs. PHI,3/1/18,L,240,97,36,87,41.4,9,32,28.1,16,23,69.6,10,35,45,23,4,6,10,21,-11
CLE,CLE vs. BKN,2/27/18,W,240,129,50,97,51.5,12,24,50,17,27,63,14,41,55,24,7,1,11,24,6
CLE,CLE vs. SAS,2/25/18,L,240,94,38,91,41.8,8,34,23.5,10,14,71.4,13,34,47,18,8,3,16,24,-16
CLE,CLE @ MEM,2/23/18,W,240,112,40,87,46,11,29,37.9,21,22,95.5,7,39,46,26,13,9,18,23,23
CLE,CLE vs. WAS,2/22/18,L,240,103,42,84,50,8,35,22.9,11,19,57.9,6,30,36,20,5,2,13,15,-7
CLE,CLE @ OKC,2/13/18,W,240,120,45,88,51.1,16,36,44.4,14,22,63.6,10,31,41,24,6,3,7,28,8
CLE,CLE @ BOS,2/11/18,W,240,121,45,84,53.6,16,30,53.3,15,20,75,5,36,41,22,7,6,11,20,22
CLE,CLE @ ATL,2/9/18,W,240,123,46,86,53.5,15,35,42.9,16,24,66.7,6,37,43,31,8,4,9,17,16
CLE,CLE vs. MIN,2/7/18,W,265,140,52,88,59.1,21,41,51.2,15,23,65.2,7,34,41,33,5,1,16,21,2
CLE,CLE @ ORL,2/6/18,L,240,98,36,84,42.9,12,37,32.4,14,20,70,9,27,36,19,4,4,14,24,-18
CLE,CLE vs. HOU,2/3/18,L,240,88,34,87,39.1,8,30,26.7,12,16,75,5,42,47,22,4,3,11,16,-32
CLE,CLE vs. MIA,1/31/18,W,240,91,28,80,35,6,26,23.1,29,38,76.3,7,38,45,18,9,5,16,20,2
CLE,CLE @ DET,1/30/18,L,240,114,38,84,45.2,13,35,37.1,25,32,78.1,7,34,41,24,2,5,15,22,-11
CLE,CLE vs. DET,1/28/18,W,240,121,42,83,50.6,15,35,42.9,22,26,84.6,4,41,45,27,2,3,10,14,17
CLE,CLE vs. IND,1/26/18,W,240,115,46,82,56.1,13,37,35.1,10,13,76.9,8,36,44,27,13,4,21,11,7
CLE,CLE @ SAS,1/23/18,L,240,102,35,72,48.6,6,21,28.6,26,31,83.9,6,35,41,19,6,3,18,14,-12
CLE,CLE vs. OKC,1/20/18,L,240,124,46,89,51.7,10,37,27,22,27,81.5,3,25,28,32,7,4,15,18,-24
CLE,CLE vs. ORL,1/18/18,W,240,104,38,85,44.7,10,34,29.4,18,27,66.7,14,32,46,22,8,4,20,21,1
CLE,CLE vs. GSW,1/15/18,L,240,108,43,94,45.7,7,28,25,15,22,68.2,12,31,43,26,9,5,15,22,-10
CLE,CLE @ IND,1/12/18,L,240,95,37,85,43.5,7,34,20.6,14,19,73.7,9,37,46,19,12,5,12,15,-2
CLE,CLE @ TOR,1/11/18,L,240,99,34,89,38.2,6,26,23.1,25,30,83.3,9,26,35,18,3,4,10,16,-34
CLE,CLE @ MIN,1/8/18,L,240,99,37,84,44,13,38,34.2,12,16,75,8,29,37,26,0,4,14,15,-28
CLE,CLE @ ORL,1/6/18,W,240,131,47,94,50,15,34,44.1,22,31,71,14,31,45,25,11,2,18,26,4
CLE,CLE @ BOS,1/3/18,L,240,88,31,89,34.8,8,32,25,18,18,100,9,39,48,16,6,7,15,17,-14
CLE,CLE vs. POR,1/2/18,W,240,127,43,83,51.8,13,32,40.6,28,37,75.7,8,32,40,28,11,4,10,17,17
CLE,CLE @ UTA,12/30/17,L,240,101,34,81,42,12,40,30,21,26,80.8,9,37,46,20,6,5,15,19,-3
CLE,CLE @ SAC,12/27/17,L,240,95,32,74,43.2,12,31,38.7,19,25,76,7,30,37,19,9,4,12,15,-14
CLE,CLE @ GSW,12/25/17,L,240,92,28,88,31.8,15,36,41.7,21,25,84,19,31,50,12,8,0,14,19,-7
CLE,CLE vs. CHI,12/21/17,W,240,115,42,82,51.2,12,29,41.4,19,22,86.4,7,28,35,25,10,3,12,14,3
CLE,CLE @ MIL,12/19/17,L,240,116,40,80,50,16,41,39,20,24,83.3,7,30,37,26,9,3,14,20,-3
CLE,CLE @ WAS,12/17/17,W,240,106,41,87,47.1,14,34,41.2,10,12,83.3,4,38,42,24,6,4,9,16,7
CLE,CLE vs. UTA,12/16/17,W,240,109,42,79,53.2,10,22,45.5,15,17,88.2,8,33,41,30,9,1,12,15,9
CLE,CLE vs. LAL,12/14/17,W,240,121,43,86,50,15,36,41.7,20,25,80,8,31,39,32,10,5,17,16,9
CLE,CLE vs. ATL,12/12/17,W,240,123,48,86,55.8,20,38,52.6,7,10,70,6,31,37,35,5,2,13,18,9
