TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
BOS,BOS @ POR,3/23/18,W,48,111.7,106.4,5.3,62.9,1.69,17.5,23.8,72.5,50.5,13.8,52.6,59.4,94,54.8
BOS,BOS vs. OKC,3/20/18,W,48,99,98,1,61.1,1.16,16.2,27.5,78.6,54.2,18.8,48.9,53.2,101,52.6
BOS,BOS @ NOP,3/18/18,L,48,89.9,109.1,-19.2,48.6,1.31,13.5,20,83.7,48,13.1,45.4,46.5,99,32.6
BOS,BOS @ ORL,3/16/18,W,48,95.8,86.5,9.4,51.6,0.84,12,38.2,79.2,58.3,19.8,43.3,48.8,96,55.5
BOS,BOS vs. WAS,3/14/18,L,58,107.8,108.7,-0.9,62.5,1.76,19,25.9,67.3,46.8,14.8,54.5,56.8,95.17,49.8
BOS,BOS vs. IND,3/11/18,L,48,102.1,105.3,-3.2,76.5,1.63,19.4,29.2,76.7,51.6,16.8,49.4,53.7,94.5,50
BOS,BOS @ MIN,3/8/18,W,48,117,109,8,65.1,2.55,20.1,23.9,73.1,50,11,55.7,59.2,100,56.5
BOS,BOS @ CHI,3/5/18,W,48,109.4,91.8,17.6,61,1.25,18.7,30.2,80.4,57.4,20.8,56,58.8,96.5,61.6
BOS,BOS @ HOU,3/3/18,L,48,122.4,125.5,-3.1,50,1.69,16.3,34.7,69.4,52,13.3,55.5,59.9,98,47.2
BOS,BOS vs. CHA,2/28/18,W,48,139.6,109.3,30.3,57.4,2.82,22.8,27.3,78.6,59.6,11.5,69,71.6,96.5,63.7
BOS,BOS vs. MEM,2/26/18,W,48,111.2,101,10.2,64.1,3.13,18.5,23.1,83,51.5,8.2,52.3,55.7,97.5,52.9
BOS,BOS @ NYK,2/24/18,W,48,115.2,107.7,7.5,50,1.91,15.1,26.4,73.1,49.5,10.5,52.2,57.4,104.5,54.4
BOS,BOS @ DET,2/23/18,W,48,114.6,103.2,11.4,73.2,2.73,22.1,23.4,72.5,49,11.5,58.2,59.2,95.5,58.6
BOS,BOS vs. LAC,2/14/18,L,48,116.7,126.5,-9.8,57.1,3,17,27.3,78.3,50.5,7.8,51,56,102,43.4
BOS,BOS vs. CLE,2/11/18,L,48,101,122.2,-21.2,61.1,1.47,16.1,30.9,81,52.6,15.3,46.1,50.2,98.5,39.3
BOS,BOS vs. IND,2/9/18,L,48,101.1,106.6,-5.5,47.1,1.6,12.9,30.5,58.7,42.9,11.1,42.1,46.5,90.5,40.6
BOS,BOS @ WAS,2/8/18,W,53,100.9,95.4,5.5,41,0.89,11.8,21.6,68.3,46.8,16.5,51.8,55.6,98.72,50.9
BOS,BOS @ TOR,2/6/18,L,48,94.8,116.8,-22.1,63.6,1.24,15.9,29.6,80.5,51.6,17.7,45.8,49.6,95.5,34.2
BOS,BOS vs. POR,2/4/18,W,48,105.4,105.5,-0.1,68.6,2.18,18.5,28.8,75.4,53.2,12,50,52.4,91.5,52.3
BOS,BOS vs. ATL,2/2/18,W,48,120.2,110,10.2,57.8,2.36,19.3,22.7,80.9,52.7,11.1,56.7,60.8,99.5,54.6
